Time,Time Code,Country Name,Country Code,"GDP per capita, PPP (constant 2021 international $) [NY.GDP.PCAP.PP.KD]","Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","School enrollment, tertiary (% gross) [SE.TER.ENRR]","Immunization, measles (% of children ages 12-23 months) [SH.IMM.MEAS]",Urban population (% of total population) [SP.URB.TOTL.IN.ZS],Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita) [EN.GHG.CO2.PC.CE.AR5],Access to electricity (% of population) [EG.ELC.ACCS.ZS],Individuals using the Internet (% of population) [IT.NET.USER.ZS],"Unemployment, total (% of total labor force) (modeled ILO estimate) [SL.UEM.TOTL.ZS]","Agriculture, forestry, and fishing, value added (% of GDP) [NV.AGR.TOTL.ZS]","Industry (including construction), value added (% of GDP) [NV.IND.TOTL.ZS]","Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]"
2017,YR2017,Afghanistan,AFG,2952.99891598909,63.016,..,64,25.25,0.226011227289355,97.7,13.5,11.184,26.4201990834448,10.0518739969063,4.97595150553892
2017,YR2017,Albania,ALB,14095.7590458888,79.047,58.0177803039551,96,59.383,1.85891071277559,99.9,62.4,13.616,19.0221266422351,20.3584083577153,1.98666133171199
2017,YR2017,Algeria,DZA,15427.6641894871,75.743,49.3779106140137,88,72.052,3.99506357734631,99.5,47.7,12,11.0318809304784,33.4766949498416,5.59111590961664
2017,YR2017,American Samoa,ASM,..,..,..,..,87.17,0.00193851044857132,..,..,..,..,..,..
2017,YR2017,Andorra,AND,63239.6577711911,..,15.4369401931763,99,88.15,..,100,91.6,..,0.559538512516191,10.3955176672591,..
2017,YR2017,Angola,AGO,9042.11712940232,61.68,9.65568923950195,42,64.839,0.924168969446141,42.9,26,16.61,10.0169959653141,42.1679537698985,29.8444799015679
2017,YR2017,Antigua and Barbuda,ATG,27143.0416282234,78.268,..,99,24.713,3.06185612592298,100,72,..,1.66492908993713,18.849038849958,2.43248789041363
2017,YR2017,Argentina,ARG,28334.904184742,76.833,89.2329406738281,89,91.749,4.3211555474833,100,74.3,8.347,5.23162237725058,21.782123219335,..
2017,YR2017,Armenia,ARM,14243.8749003795,74.906,53.5907592773438,96,63.103,1.90931059944955,99.7,64.7,17.704,14.9942601242776,25.8095323791656,0.969553268816138
2017,YR2017,Aruba,ABW,38558.0045581753,75.903,..,..,43.293,4.29116659769164,100,97.2,..,0.0239185699152083,12.3948233277596,-1.02828178762012
2017,YR2017,Australia,AUS,56648.8086593728,82.5,109.993309020996,94,85.904,16.7057285715517,100,86.5,5.592,2.70644694209046,23.4740606091639,1.94864740944527
2017,YR2017,Austria,AUT,62555.6934724317,81.6439024390244,83.8392562866211,96,58.094,7.96882910568673,100,87.9,5.561,1.19990203076681,25.8023213025638,2.08126911385587
2017,YR2017,Azerbaijan,AZE,19675.9598908264,72.248,28.4670600891113,98,55.343,3.47367417990177,100,79,5,5.60736901068842,49.7017251037138,12.9359184187335
2017,YR2017,"Bahamas, The",BHS,32442.7229938499,73.632,..,90,82.925,3.51767673534195,100,80.6,9.8,0.783708025856644,13.1481526882248,1.51820700736147
2017,YR2017,Bahrain,BHR,53859.7749589601,79.689,45.1864395141602,99,89.186,22.4872028544097,100,95.9,1.194,0.27707464645461,39.9934662996166,1.38671830576406
2017,YR2017,Bangladesh,BGD,6005.70718781048,71.788,18.5305080413818,97,35.858,0.622894753150526,88,21.5,4.372,12.9572760433733,31.2482919641603,5.70207015717239
2017,YR2017,Barbados,BRB,18740.3488338921,76.936,..,92,31.159,2.43565536761478,100,72.3,8.622,1.90604243027997,13.8367970386892,4.66018463955996
2017,YR2017,Belarus,BLR,25503.9809859339,74.1292682926829,91.3261489868164,97,78.134,6.36653663515202,98.7,74.4,5.648,7.56610054090858,31.5542610734955,6.03183725177793
2017,YR2017,Belgium,BEL,58502.2552655238,81.4926829268293,80.7738189697266,96,97.961,8.76474858634931,100,87.7,7.09,0.729532583142538,19.1545604130921,2.12597086002607
2017,YR2017,Belize,BLZ,11574.452447147,73.562,24.7719898223877,90,45.601,0.759374279880601,94.2,48.9,6.596,8.56020826898469,14.0934562944006,1.14765339305816
2017,YR2017,Benin,BEN,3041.77929984989,59.856,11.7388401031494,65,46.768,0.601464478586818,34.5,18.7,1.659,28.4890165273264,15.1075858507501,0.0432648555103608
2017,YR2017,Bermuda,BMU,95666.1631169636,82.351,22.4178009033203,..,100,4.48582843121835,100,98.4,..,0.274700811333467,5.50930538497597,..
2017,YR2017,Bhutan,BTN,13482.3425253264,70.847,14.7713375091553,97,40.167,2.04736622322973,97.7,54.3,3.016,12.9297924309236,39.0388793568182,4.95508366985129
2017,YR2017,Bolivia,BOL,9642.81396069058,67.701,..,83,69.08,1.9180513138116,91.8,43.8,3.655,11.5893359419581,26.3699744223227,2.8227580554717
2017,YR2017,Bosnia and Herzegovina,BIH,15541.0150248586,76.935,46.4159202575684,69,47.876,6.99601187861691,100,64.9,20.527,5.43104998511606,23.1210738626282,0.810039425333895
2017,YR2017,Botswana,BWA,17352.9293381836,66.753,22.4400691986084,97,68.7,3.28360421343891,67.4,47.9,19.664,1.8419939490754,37.1010050249191,3.30828076768219
2017,YR2017,Brazil,BRA,17724.4799591551,74.827,50.0267486572266,87,86.309,2.41568284305132,99.8,67.5,12.792,4.60059169575972,18.1885023093992,3.44637335032669
2017,YR2017,British Virgin Islands,VGB,..,74.785,..,..,47.337,2.05205052142267,100,77.7,..,..,..,..
2017,YR2017,Brunei Darussalam,BRN,78966.8642961288,74.722,34.9116706848145,97,77.312,18.1883301137782,100,94.9,9.316,1.08645099266659,59.7205892141163,-1.2605056462896
2017,YR2017,Bulgaria,BGR,25632.1520823556,74.8146341463415,81.2245864868164,94,74.669,6.96436816160438,98.1,63.4,6.164,4.04317689807308,23.9892951281784,2.06159619443141
2017,YR2017,Burkina Faso,BFA,2232.28781490944,59.536,5.85665988922119,88,28.743,0.22411323946474,17,7.79,4.656,20.5863197033828,25.1500158888108,1.48299897161325
2017,YR2017,Burundi,BDI,880.993440128706,61.553,4.43720865249634,90,12.706,0.0465986869286077,9.3,2.66,1.247,28.5466470060171,10.9931308053063,16.0525353030392
2017,YR2017,Cabo Verde,CPV,8234.56000312459,76.593,21.1641502380371,96,65.261,1.69528537141275,88.6,57.2,12.24,5.37533502619645,12.5188038438799,0.784415251101334
2017,YR2017,Cambodia,KHM,5632.03125629342,70.515,15.0735502243042,85,22.98,0.737163303381518,89.1,32.9,0.141,17.8681771583586,34.2980809169165,2.91263557371478
2017,YR2017,Cameroon,CMR,4797.97544185544,60.81,12.7472696304321,67,55.777,0.408142187771268,60.9,23.2,3.568,16.6929418227731,24.2621952863109,0.64040914988195
2017,YR2017,Canada,CAN,56522.0146718025,81.8329268292683,70.6271591186523,90,81.35,16.2277461463686,100,92.7,6.426,1.88999463244888,24.0278028870792,1.59688412852977
2017,YR2017,Cayman Islands,CYM,74564.7386458281,..,33.5451774597168,..,100,4.34492910823584,100,81.1,..,0.418315712387287,7.19381823523329,..
2017,YR2017,Central African Republic,CAF,1103.86609318724,53.721,..,41,40.98,0.0540939616076817,14.1,4,5.534,32.7901712257048,20.7372245546503,4.18072331871267
2017,YR2017,Chad,TCD,1887.50297799522,52.308,..,37,22.858,0.138426253647003,10.9,6.4,1.116,32.8122227117827,30.4294114663739,-1.53709962980849
2017,YR2017,Channel Islands,CHI,..,81.331,..,..,30.914,..,100,..,7.12,0.807952897379885,8.01938141645934,..
2017,YR2017,Chile,CHL,27929.4755431953,80.35,89.921989440918,93,87.49,4.83419570633295,99.7,82.3,7.257,4.28097161367726,27.3811560666543,2.18271846868519
2017,YR2017,China,CHN,16461.069929896,77.248,51.5827713012695,99,57.96,7.90503403845396,100,54.3,4.47,7.46356501656873,39.8516984491913,1.59313600071436
2017,YR2017,Colombia,COL,16955.7402315425,76.646,58.3960418701172,93,80.446,1.62427693807315,98.5,62.3,9.086,6.38966355268118,26.8148589146209,4.31431325695011
2017,YR2017,Comoros,COM,3465.63055618837,63.625,..,75,28.784,0.337267682434459,78.7,8.48,4.03,31.8988868689753,9.13735009601101,..
2017,YR2017,"Congo, Dem. Rep.",COD,1253.18734939772,59.411,..,65,43.88,0.0359333704456503,18,8.62,4.601,19.7026974970704,55.884401703307,..
